,Tweet
155,"@Karl_Lauterbach Heute morgen haben Sie noch das anders beurteilt. Sie enttäuschen mich immer mehr. Sie sind der BR, sicherlich gibt es ständig andere Erkenntnisse aber die Katastrophale Kommunikation geht gerade nur so weiter. Deswegen schalte ich schon kein Lanz, Iller etc. mehr an, jeden Tag.."
156,RT @AmadeuAntonio: Rechtsextreme Positionen und Ideologien finden sich heute in nahezu allen Bereichen unserer Gesellschaft wieder. Die Bed…
157,"RT @nenacasc: Wenn die Maskenpflicht einmal fällt, werde ich die Maske NICHT freiwillig tragen. Bei keiner Gelegenheit. Zu keinem Zeitpunkt…"
158,"RT @manaf12hassan: Heute ist #Assange seit unglaublichen 1046 Tagen in Haft, im „britischen Guantanamo“ #Belmarsh. Seit fast 10 Jahren wird…"
159,RT @Keane1975: Demonstranten in der deutschen Stadt Neustadt standen schweigend da und spielten heute Abend die kanadische Nationalhymne fü…
160,"RT @laszlohealth: Es ist für psychisch schwer gestörte Subjekte 👇🏽offensichtlich sehr schwer, den Rausch der Macht &amp; die, nennen wir es; ""K…"
161,Der Zug nach Duisburg Entenfang fährt heute nicht. Ist heute leider so.
162,Ok heute mit Quattromilf.. Ohje ich hatte mir schon Sorgen gemacht https://t.co/T0KPk6JZ5L
163,RT @neuwirthe: Ich möchte heute wieder einmal meinen Unmut kundtun. In einer der 3 Datenlieferungen (EMS-Morgenmeldung) fhlen die Daten von…
164,"RT @TeamD: 🖤❤️💛 So viel Größe ist OUT-STAN-DING! Linus Straßer hat heute vorm Finale des alpinen Team-Events selbst entschieden, dass er se…"
165,"RT @seee_ya: 🟥 MATCHDAY 🟥

Unser Defect @CSGO Team hat heute ihr zweites Match in der @99DAMAGEde Liga❗️

🆚COOPERAT1ON
📺TBA
🕐19:00 CET

♦️F…"
166,"RT @arno_nowak: @DanielPach6 Wie über vieles andere durch den C-Wahnsinn auch, alles Verschwörung 😷💉etc., heute Realität (Aspi­ra­tion habe…"
167,"RT @der_veganer: Wenn du heute Milch trinken kannst, dann nur, weil er es nicht kann.

#notyourmomnotyourmilk
#GoVegan https://t.co/AiaEA6s…"
168,"RT @TeamD: 🖤❤️💛 So viel Größe ist OUT-STAN-DING! Linus Straßer hat heute vorm Finale des alpinen Team-Events selbst entschieden, dass er se…"
169,"@der1000Sascha Es war heute derart prima, ich bin an einem Sonntag am Main gelaufen."
170,"@chipsfisch 😂😅Zwei schöne Geschichten!!
In der Kirche ist ja auch ein Klassiker, wo man eigentlich nicht lachen sollte. Vermutlich müsst ihr heute nur ""der Kopf, der kopf"" denken und schon geht es wieder los! 😂😂"
171,@balla_rhina Die Kids mögen es nicht so dunkel deshalb eher hell heute
172,"RT @MarkusWerner18: @PhilipPlickert Irgendwie traurig, dass heute ""Mut"" dazu gehört,
ganz banale Wahrheiten öffentlich auszusprechen...
😢"
